USVI,FGB,PR,DT,Temp,Salinity,CalcDensity,CRMTA,SampleDensity,TA1,TA2,MeanTA,TACorrection,TA1pH,TA2pH,MeanTApH,CO2,CorrectedCO2,Label
0,0,0,1,27.3,31.3,1.015529397,2238.04,1.020261937,2430,2427,2428.5,2393.06375,8.212,8.205,8.2085,2072.58,2066.494967,1
0,0,0,1,27.6,31.6,1.015649817,2238.04,1.02121613,2425.9,2421.7,2423.8,2386.23734,8.243,8.221,8.232,2072.58,2054.200067,1
0,0,0,1,27.6,31.6,1.015649817,2238.04,1.020880227,2428.3,2430,2429.15,2392.258857,8.203,8.222,8.2125,2072.58,2064.975221,1
0,0,0,1,27.5,31.8,1.015506221,2238.04,1.020896763,2428.2,2424.3,2426.25,2379.731157,8.253,8.247,8.25,2072.58,2064.059027,1
0,0,0,1,27.7,31.3,1.015827484,2238.04,1.020609271,2424.8,2426.6,2425.7,2379.861716,8.255,8.246,8.2505,2072.58,2058.576801,1
0,0,0,1,27.4,32.3,1.015257779,2238.04,1.021289008,2417.7,2419,2418.35,2371.083061,8.247,8.238,8.2425,2072.58,2053.10791,1
0,0,0,1,27.8,32.2,1.015590439,2238.04,1.021273526,2420.5,2417.3,2418.9,2371.657501,8.252,8.238,8.245,2072.58,2053.006878,1
0,0,0,1,29.1,32.5,1.01645288,2238.04,1.021394684,2408.9,2406.8,2407.85,2360.558007,8.31,8.323,8.3165,2072.58,1985.21949,0
0,0,0,1,29,32.3,1.016448855,2238.04,1.021363957,2402.1,2405.4,2403.75,2356.614689,8.402,8.393,8.3975,2072.58,1928.569164,0
0,0,0,1,27.6,32.3,1.01540661,2238.04,1.021258891,2426,2425.6,2425.8,2378.44781,8.252,8.253,8.2525,2072.58,2041.768019,1
0,0,0,1,27.6,32.6,1.015301296,2238.04,1.021545473,2434.8,2432.5,2433.65,2385.465883,8.255,8.262,8.2585,2072.58,2057.965127,1
0,0,0,1,28.3,32.3,1.015927639,2238.04,1.021556505,2432.1,2428,2430.05,2381.916122,8.254,8.238,8.246,2072.58,2061.00558,1
0,0,0,1,28.1,32.2,1.015813768,2238.04,1.021168369,2431,2429.9,2430.45,2383.211979,8.238,8.245,8.2415,2072.58,2061.61254,1
0,0,0,1,28.3,32.1,1.015997635,2238.04,1.021242802,2425.9,2426.7,2426.3,2380.216047,8.212,8.217,8.2145,2072.58,2053.155343,1
0,0,0,1,28.3,32.1,1.015997635,2238.04,1.021108013,2431,2427.2,2429.1,2383.271781,8.208,8.201,8.2045,2072.58,2061.531756,1
0,0,0,1,27.5,31.9,1.015471561,2238.04,1.021076938,2424.4,2424.5,2424.45,2378.790165,8.201,8.189,8.195,2072.58,2047.551919,1
0,0,0,1,28.3,32,1.016032526,2238.04,1.021062659,2431,2427.4,2429.2,2383.475386,8.202,8.196,8.199,2072.58,2053.474008,1
0,0,0,1,29.8,32.1,1.017115075,2238.04,1.021227904,2435.4,2435.3,2435.35,2389.112586,8.173,8.178,8.1755,2072.58,2064.113906,1
0,0,0,1,30.2,32.7,1.017201172,2238.04,1.021575791,2435.5,2431,2433.25,2386.244844,8.188,8.2,8.194,2072.58,2056.412788,1
0,0,0,1,28.4,32.4,1.015966971,2238.04,1.021409515,2425.7,2426.5,2426.1,2379.63246,8.186,8.186,8.186,2072.58,2056.979311,1
